stage,claim_id,kind,claim,scope,period,evidence_ids
mandate,A1,ASSUMPTION,"Fictional water-dependent business: incomplete site coverage is unknown exposure, not zero risk. Ecological benefits and investor cash flows require different evidence.",FICTIONAL-SUBJECT,2026-09-24,
evidence,A1,ASSUMPTION,"Fictional water-dependent business: incomplete site coverage is unknown exposure, not zero risk. Ecological benefits and investor cash flows require different evidence.",FICTIONAL-SUBJECT,2026-09-24,
locate,A1,ASSUMPTION,"Fictional water-dependent business: incomplete site coverage is unknown exposure, not zero risk. Ecological benefits and investor cash flows require different evidence.",FICTIONAL-SUBJECT,2026-09-24,
dependencies,A1,ASSUMPTION,"Fictional water-dependent business: incomplete site coverage is unknown exposure, not zero risk. Ecological benefits and investor cash flows require different evidence.",FICTIONAL-SUBJECT,2026-09-24,
impacts,A1,ASSUMPTION,"Fictional water-dependent business: incomplete site coverage is unknown exposure, not zero risk. Ecological benefits and investor cash flows require different evidence.",FICTIONAL-SUBJECT,2026-09-24,
rights,A1,ASSUMPTION,"Fictional water-dependent business: incomplete site coverage is unknown exposure, not zero risk. Ecological benefits and investor cash flows require different evidence.",FICTIONAL-SUBJECT,2026-09-24,
additionality,A1,ASSUMPTION,"Fictional water-dependent business: incomplete site coverage is unknown exposure, not zero risk. Ecological benefits and investor cash flows require different evidence.",FICTIONAL-SUBJECT,2026-09-24,
finance,A1,ASSUMPTION,"Fictional water-dependent business: incomplete site coverage is unknown exposure, not zero risk. Ecological benefits and investor cash flows require different evidence.",FICTIONAL-SUBJECT,2026-09-24,
market,A1,ASSUMPTION,"Fictional water-dependent business: incomplete site coverage is unknown exposure, not zero risk. Ecological benefits and investor cash flows require different evidence.",FICTIONAL-SUBJECT,2026-09-24,
valuation,A1,ASSUMPTION,"Fictional water-dependent business: incomplete site coverage is unknown exposure, not zero risk. Ecological benefits and investor cash flows require different evidence.",FICTIONAL-SUBJECT,2026-09-24,
valuation,CALC1,CALCULATION,"Recomputed illustrative nature_cashflow_stress; inspect arguments, units and result in calculation C1.",FICTIONAL-SUBJECT,2026-09-24,
expression,A1,ASSUMPTION,"Fictional water-dependent business: incomplete site coverage is unknown exposure, not zero risk. Ecological benefits and investor cash flows require different evidence.",FICTIONAL-SUBJECT,2026-09-24,
stewardship,A1,ASSUMPTION,"Fictional water-dependent business: incomplete site coverage is unknown exposure, not zero risk. Ecological benefits and investor cash flows require different evidence.",FICTIONAL-SUBJECT,2026-09-24,
challenge,A1,ASSUMPTION,"Fictional water-dependent business: incomplete site coverage is unknown exposure, not zero risk. Ecological benefits and investor cash flows require different evidence.",FICTIONAL-SUBJECT,2026-09-24,
memo,A1,ASSUMPTION,"Fictional water-dependent business: incomplete site coverage is unknown exposure, not zero risk. Ecological benefits and investor cash flows require different evidence.",FICTIONAL-SUBJECT,2026-09-24,
